asset,group,source,proxy,corr,n_obs
SCHW,financials,proxy_corr,XLF,0.735026145264794,1760
SFM,consumer_staples,proxy_corr,XLP,0.358218372833363,1760
SHEN,financials,proxy_corr,XLF,0.3672876173301535,1760
SHW,materials,proxy_corr,XLB,0.672063303320732,1760
SJM,consumer_staples,proxy_corr,XLP,0.5515131197847754,1760
SM,energy,proxy_corr,XLE,0.7434472031351493,2028
SNPS,technology,proxy_corr,XLK,0.8050585623305824,1760
SO,utilities,proxy_corr,XLU,0.8979301484898966,1760
SPB,industrials,proxy_corr,XLI,0.506887508361434,1760
SPG,real_estate,proxy_corr,XLRE,0.6518795941274619,1760
SPGI,technology,proxy_corr,XLK,0.6914445905196174,1760
SPOK,financials,proxy_corr,XLF,0.3415916012946451,1760
SRE,utilities,proxy_corr,XLU,0.7909035430574277,1760
STE,health_care,proxy_corr,XLV,0.6556002359848868,1760
STT,financials,proxy_corr,XLF,0.8189191285681111,1760
STZ,consumer_staples,proxy_corr,XLP,0.5593364596740485,1760
SUI,real_estate,proxy_corr,XLRE,0.7690698622455905,1760
SUN,energy,proxy_corr,XLE,0.5830600834277427,2028
SYK,health_care,proxy_corr,XLV,0.7067382588289057,1760
SYY,industrials,proxy_corr,XLI,0.644057593055648,1760
T,financials,proxy_corr,XLF,0.5350202613823903,1760
TBCH,consumer_discretionary,proxy_corr,XLY,0.33591383258007723,1760
TDG,industrials,proxy_corr,XLI,0.7153179673727932,1760
TDS,financials,proxy_corr,XLF,0.3342215627072489,1760
TDY,industrials,proxy_corr,XLI,0.7120041322431798,1760
TER,technology,proxy_corr,XLK,0.7234176693475819,1760
TFC,financials,proxy_corr,XLF,0.8461012093356125,1760
TGT,consumer_discretionary,proxy_corr,XLY,0.4929003920909433,1760
THC,industrials,proxy_corr,XLI,0.5235692101992718,1760
TJX,industrials,proxy_corr,XLI,0.6632767699365845,1760
TKO,industrials,proxy_corr,XLI,0.35920210549578685,1760
TMO,health_care,proxy_corr,XLV,0.7095388952859254,1760
TMUS,health_care,proxy_corr,XLV,0.5231349603228094,1760
TPL,energy,proxy_corr,XLE,0.6298510198751253,2028
TPR,industrials,proxy_corr,XLI,0.6489861442527781,1760
TR,consumer_staples,proxy_corr,XLP,0.41620152679571415,1760
TREX,consumer_discretionary,proxy_corr,XLY,0.6073679113598321,1760
TRGP,energy,proxy_corr,XLE,0.7525872765527489,2028
TRV,financials,proxy_corr,XLF,0.7188677501437654,1760
TSLA,consumer_discretionary,proxy_corr,XLY,0.6254043459846075,1760
TSN,financials,proxy_corr,XLF,0.4582583470900135,1760
TTWO,technology,proxy_corr,XLK,0.5031977655073827,1760
TXN,technology,proxy_corr,XLK,0.7799131493414888,1760
UAL,industrials,proxy_corr,XLI,0.6175399116758578,1760
